iter  AnomalyNodeRemoved  LL
409 276973 -795550.913732
410 136133 -795411.340601
411 140739 -795291.706488
412 241353 -795192.011395
413 454366 -795092.316302
414 487092 -795052.438264
415 335835 -795012.560227
416 287357 -794992.621208
417 155207 -794932.804152
418 500441 -794813.170040
419 14606 -794773.292002
420 124965 -794673.596909
421 337833 -794633.718872
422 68582 -794613.779853
423 303678 -794593.840834
424 195208 -794573.901815
425 310612 -794274.816535
426 516879 -794035.548311
427 430260 -793995.670273
428 52672 -793975.731255
429 199417 -793955.792236
430 131670 -793915.914198
431 138556 -793876.036161
432 267009 -793796.280086
433 270700 -793716.524011
434 366783 -793696.584993
435 335523 -793676.645974
436 373267 -793596.889899
437 295312 -793557.011862
438 137614 -793437.377750
439 127536 -793337.682656
440 518323 -793257.926581
441 152979 -793237.987563
442 272828 -793218.048544
443 284186 -793198.109525
444 475451 -793158.231488
445 188809 -793058.536395
446 312644 -792899.024245
447 495207 -792859.146208
448 500478 -792839.207189
449 61250 -792739.512095
450 102759 -792679.695039
451 511871 -792599.938965
452 523316 -792420.487796
453 375874 -792300.853684
454 61298 -792201.158591
455 214510 -792041.646441
456 507764 -791902.073310
457 273680 -791802.378217
458 7057 -791782.439198
459 281351 -791742.561161
460 283489 -791722.622142
461 55571 -791642.866067
462 125158 -791622.927048
463 142391 -791503.292936
464 185271 -791443.475880
465 180435 -791064.634525
466 369171 -791004.817469
467 516237 -790905.122375
468 404509 -790845.305319
469 392926 -790825.366301
470 139543 -790805.427282
471 143530 -790785.488263
472 517392 -790645.915132
473 142474 -790625.976114
474 94368 -790586.098076
475 507498 -790566.159058
476 445051 -790546.220039
477 448667 -790526.281020
478 319448 -790506.342001
479 289267 -790346.829852
480 420562 -790007.866534
481 331535 -789888.232422
482 115428 -789648.964197
483 48611 -789349.878917
484 205878 -789329.939898
485 494550 -789290.061861
486 8504 -789130.549711
487 474086 -789010.915599
488 60785 -788971.037562
489 415595 -788911.220506
490 108836 -788891.281487
491 153106 -788871.342468
492 360758 -788851.403450
493 155 -788811.525412
494 341904 -788791.586394
495 150845 -788711.830319
496 316488 -788652.013263
497 517927 -788532.379150
498 162950 -788452.623076
499 242970 -788372.867001
500 191789 -788352.927982
